,district,incumbent,party,dem_16,rep_16,tot_16,dem_pct_16,rep_pct_16,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,dem_08,rep_08,tot_08,dem_pct_08,rep_pct_08,2p_tot_16,dem_2p_16,rep_2p_16,2p_tot_12,dem_2p_12,rep_2p_12,2p_tot_08,dem_2p_08,rep_2p_08,lean_08,lean_12
1,AK-AL,"Young, Don",(R),116454,163387,"309,407",37.6%,52.8%,122640,164676,297625,41.2,55.3,123594,193841,324467,38.1,59.7,279841,41.61434528893193,58.38565471106807,287316,42.684709518439625,57.315290481560375,317435,38.9352150834029,61.064784916597105,-14.75363242874068,-9.279152733570136
2,AL-01,"Byrne, Bradley",(R),103364,192634,"303,478",34.1%,63.5%,111735,184786,298837,37.4,61.8,115975,183753,301556,38.5,60.9,295998,34.92050621963662,65.07949378036338,296521,37.681985424303846,62.318014575696154,299728,38.69341536326269,61.306584636737306,-14.995432148880894,-14.281876827705915
3,AL-02,"Roby, Martha",(R),94299,185505,"285,664",33.0%,64.9%,105572,182287,289864,36.4,62.9,101076,186164,288807,35.0,64.5,279804,33.70180554959901,66.298194450401,287859,36.67489986416961,63.32510013583039,287240,35.18869238267651,64.8113076173235,-18.500155129467075,-15.28896238784015
4,AL-03,"Rogers, Mike",(R),93300,188477,"288,776",32.3%,65.3%,103089,174465,280128,36.8,62.3,103221,176434,281951,36.6,62.6,281777,33.11129013368728,66.88870986631272,277554,37.14196156423615,62.85803843576385,279655,36.91012139958163,63.08987860041837,-16.778726112561955,-14.821900687773613
5,AL-04,"Aderholt, Rob",(R),50722,233661,"290,726",17.4%,80.4%,65818,205423,274505,24.0,74.8,71095,204123,278483,25.5,73.3,284383,17.835805937767024,82.16419406223298,271241,24.265505583595402,75.7344944164046,275218,25.832249344156267,74.16775065584373,-27.856598167987315,-27.69835666841436
6,AL-05,"Brooks, Mo",(R),97159,200571,"309,937",31.3%,64.7%,103598,189860,297263,34.9,63.9,107005,184225,294444,36.3,62.6,297730,32.63325832129782,67.36674167870218,293458,35.30249643901342,64.69750356098658,291230,36.742437248909795,63.257562751090205,-16.946410263233787,-16.661365812996344
7,AL-06,"Palmer, Gary",(R),86116,233493,"329,849",26.1%,70.8%,77517,233566,314343,24.7,74.3,78559,232644,313838,25.0,74.1,319609,26.94417241066428,73.05582758933572,311083,24.918430129579566,75.08156987042044,311203,25.24365125014862,74.75634874985138,-28.445196261994962,-27.045432122430196
8,AL-07,"Sewell, Terri",(D),204586,83915,"293,231",69.8%,28.6%,228276,85488,315244,72.4,27.1,225642,88803,315625,71.5,28.1,288501,70.9134457072939,29.08655429270609,313764,72.75404444104487,27.24595555895514,314445,71.75881314697324,28.24118685302676,18.069965634829657,20.790182189035107
9,AR-01,"Crawford, Rick",(R),78688,169438,"260,717",30.2%,65.0%,92086,154549,253460,36.3,61.0,102670,151918,262118,39.2,58.0,248126,31.712920048684946,68.28707995131505,246635,37.33695541995256,62.66304458004743,254588,40.32790233632378,59.67209766367622,-13.3609451758198,-14.626906832057202
10,AR-02,"Hill, French",(R),127883,160782,"306,974",41.7%,52.4%,125527,160140,292515,42.9,54.7,129888,157732,293250,44.3,53.8,288665,44.30152599033482,55.698474009665176,285667,43.94172235504976,56.05827764495024,287620,45.15958556428621,54.84041443571379,-8.529261947857371,-8.022139896959999
