,district,incumbent,party,dem_16,rep_16,tot_16,dem_pct_16,rep_pct_16,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,2p_tot_12,dem_2p_12,rep_2p_12,2p_tot_16,dem_2p_16,rep_2p_16,lean_16,lean_12
1,AK-AL,"Young, Don",(R),116454,163387,309407,37.6,52.8,122640,164676,297625,41.2,55.3,287316,42.684709518439625,57.315290481560375,279841,41.61434528893193,58.38565471106807,-9.498943641780947,-9.279152733570136
2,AL-01,"Byrne, Bradley",(R),103364,192634,303478,34.1,63.5,111735,184786,298837,37.4,61.8,296521,37.681985424303846,62.318014575696154,295998,34.92050621963662,65.07949378036338,-16.192782711076255,-14.281876827705915
3,AL-02,"Roby, Martha",(R),94299,185505,285664,33.0,64.9,105572,182287,289864,36.4,62.9,287859,36.67489986416961,63.32510013583039,279804,33.70180554959901,66.298194450401,-17.411483381113868,-15.28896238784015
4,AL-03,"Rogers, Mike",(R),93300,188477,288776,32.3,65.3,103089,174465,280128,36.8,62.3,277554,37.14196156423615,62.85803843576385,281777,33.11129013368728,66.88870986631272,-18.0019987970256,-14.821900687773613
5,AL-04,"Aderholt, Rob",(R),50722,233661,290726,17.4,80.4,65818,205423,274505,24.0,74.8,271241,24.265505583595402,75.7344944164046,284383,17.835805937767024,82.16419406223298,-33.27748299294585,-27.69835666841436
6,AL-05,"Brooks, Mo",(R),97159,200571,309937,31.3,64.7,103598,189860,297263,34.9,63.9,293458,35.30249643901342,64.69750356098658,297730,32.63325832129782,67.36674167870218,-18.48003060941506,-16.661365812996344
7,AL-06,"Palmer, Gary",(R),86116,233493,329849,26.1,70.8,77517,233566,314343,24.7,74.3,311083,24.918430129579566,75.08156987042044,319609,26.94417241066428,73.05582758933572,-24.169116520048597,-27.045432122430196
8,AL-07,"Sewell, Terri",(D),204586,83915,293231,69.8,28.6,228276,85488,315244,72.4,27.1,313764,72.75404444104487,27.24595555895514,288501,70.9134457072939,29.08655429270609,19.800156776581026,20.790182189035107
9,AR-01,"Crawford, Rick",(R),78688,169438,260717,30.2,65.0,92086,154549,253460,36.3,61.0,246635,37.33695541995256,62.66304458004743,248126,31.712920048684946,68.28707995131505,-19.40036888202793,-14.626906832057202
10,AR-02,"Hill, French",(R),127883,160782,306974,41.7,52.4,125527,160140,292515,42.9,54.7,285667,43.94172235504976,56.05827764495024,288665,44.30152599033482,55.698474009665176,-6.81176294037806,-8.022139896959999
11,AR-03,"Womack, Steve",(R),89081,180921,292163,30.5,61.9,81413,168703,257668,31.6,65.5,250116,32.55009675510563,67.44990324489437,270002,32.99271857245502,67.00728142754498,-18.120570358257858,-19.413765496904134
12,AR-04,"Westerman, Bruce",(R),84842,173731,270781,31.3,64.2,95383,164352,265825,35.9,61.8,259735,36.72319864477256,63.27680135522744,258573,32.81162379676146,67.18837620323855,-18.301665133951417,-15.240663607237202
13,AZ-01,"O'Halleran, Tom",(D),132874,135928,284973,46.6,47.7,124550,131115,260056,47.9,50.4,255665,48.71609332524984,51.283906674750156,268802,49.43192386961407,50.56807613038593,-1.6813650610988091,-3.2477689267599246
14,AZ-02,"Kirkpatrick, Ann",(D),156676,141196,315839,49.6,44.7,144966,149651,299691,48.4,49.9,294617,49.20489992091427,50.79510007908573,297872,52.59843154106461,47.40156845893539,1.485142610351737,-2.758962331095489
15,AZ-03,"Grijalva, Raul",(D),130466,67952,208934,62.4,32.5,108902,65482,177248,61.4,36.9,174384,62.44953665473897,37.55046334526103,198418,65.7531070769789,34.2468929230211,14.63981814626603,10.48567440272921
16,AZ-04,"Gosar, Paul",(R),82192,202043,298483,27.5,67.7,80035,173394,258046,31.0,67.2,253429,31.58083723646465,68.41916276353534,284235,28.916917339525394,71.0830826604746,-22.196371591187482,-20.383025015545112
17,AZ-05,"Biggs, Andy",(R),121280,191432,332093,36.5,57.6,101511,187304,293748,34.6,63.8,288815,35.14741270363381,64.85258729636618,312712,38.78328941645988,61.21671058354012,-12.329999514252997,-16.81644954837595
