,district,incumbent,party,dem_20,rep_20,tot_20,dem_pct_20,rep_pct_20,dem_16,rep_16,tot_16,dem_pct_16,rep_pct_16,dem_12,rep_12,tot_12,dem_pct_12,rep_pct_12,2p_tot_20,dem_2p_20,rep_2p_20,2p_tot_16,dem_2p_16,rep_2p_16,2p_tot_12,dem_2p_12,rep_2p_12,lean_16,lean_20,lean_12
1,AK-AL,Mary Peltola,(R),153778,189951,357569,43.0,53.1,116454,163387,309407,37.6,52.8,122640,164676,297625,41.2,55.3,343729,44.73815127615069,55.26184872384932,279841,41.61434528893193,58.38565471106807,287316,42.684709518439625,57.315290481560375,-9.498943641780947,-7.5316836480557825,-9.279152733570136
2,AL-01,Jerry Carl,(R),117136,211370,331886,35.3,63.7,103364,192634,303478,34.1,63.5,111735,184786,298837,37.4,61.8,328506,35.65718738774938,64.34281261225061,295998,34.92050621963662,65.07949378036338,296521,37.681985424303846,62.318014575696154,-16.192782711076255,-16.61264753645709,-14.281876827705915
3,AL-02,Barry Moore,(R),107776,195953,306714,35.1,63.9,94299,185505,285664,33.0,64.9,105572,182287,289864,36.4,62.9,303729,35.48426393265049,64.51573606734952,279804,33.70180554959901,66.298194450401,287859,36.67489986416961,63.32510013583039,-17.411483381113868,-16.78557099155598,-15.28896238784015
4,AL-03,Mike Rogers,(R),109495,212012,324741,33.7,65.3,93300,188477,288776,32.3,65.3,103089,174465,280128,36.8,62.3,321507,34.05680125160572,65.94319874839428,281777,33.11129013368728,66.88870986631272,277554,37.14196156423615,62.85803843576385,-18.0019987970256,-18.21303367260075,-14.821900687773613
5,AL-04,Robert Aderholt,(R),57133,260535,320725,17.8,81.2,50722,233661,290726,17.4,80.4,65818,205423,274505,24.0,74.8,317668,17.985129128524118,82.01487087147588,284383,17.835805937767024,82.16419406223298,271241,24.265505583595402,75.7344944164046,-33.27748299294585,-34.284705795682356,-27.69835666841436
6,AL-05,Mo Brooks,(R),129812,228398,364107,35.7,62.7,97159,200571,309937,31.3,64.7,103598,189860,297263,34.9,63.9,358210,36.23907763602356,63.760922363976434,297730,32.63325832129782,67.36674167870218,293458,35.30249643901342,64.69750356098658,-18.48003060941506,-16.03075728818291,-16.661365812996344
7,AL-06,Gary Palmer,(R),117582,248134,370171,31.8,67.0,86116,233493,329849,26.1,70.8,77517,233566,314343,24.7,74.3,365716,32.15117741635586,67.84882258364414,319609,26.94417241066428,73.05582758933572,311083,24.918430129579566,75.08156987042044,-24.169116520048597,-20.118657507850614,-27.045432122430196
8,AL-07,Terri Sewell,(D),210689,84768,297626,70.8,28.5,204586,83915,293231,69.8,28.6,228276,85488,315244,72.4,27.1,295457,71.30953065928375,28.690469340716245,288501,70.9134457072939,29.08655429270609,313764,72.75404444104487,27.24595555895514,19.800156776581026,19.03969573507728,20.790182189035107
9,AR-01,Rick Crawford,(R),75898,187640,271712,27.9,69.1,78688,169438,260717,30.2,65.0,92086,154549,253460,36.3,61.0,263538,28.799641797387853,71.20035820261215,248126,31.712920048684946,68.28707995131505,246635,37.33695541995256,62.66304458004743,-19.40036888202793,-23.470193126818618,-14.626906832057202
10,AR-02,French Hill,(R),147552,177053,333347,44.3,53.1,127883,160782,306974,41.7,52.4,125527,160140,292515,42.9,54.7,324605,45.45586173965281,54.54413826034718,288665,44.30152599033482,55.698474009665176,285667,43.94172235504976,56.05827764495024,-6.81176294037806,-6.81397318455366,-8.022139896959999
