,district,incumbent,party,dem_20,rep_20,tot_20,dem_pct_20,rep_pct_20,dem_16,rep_16,tot_16,2p_tot_16,dem_2p_16,rep_2p_16,lean_16,2p_tot_20,dem_2p_20,rep_2p_20,lean_20
2,AL-02,Barry Moore,(R),111264,205435,319817,34.8,64.2,96668,193978,299195,290646,33.2597042450266,66.7402957549734,-17.85358468568628,316699,35.13241279574612,64.86758720425388,-17.13742212846035
3,AL-03,Mike Rogers,(R),102772,210797,316695,32.5,66.6,88876,187604,285575,276480,32.14554398148148,67.85445601851852,-18.967744949231395,313569,32.774923541549065,67.22507645845093,-19.494911382657406
4,AL-04,Robert Aderholt,(R),60733,262359,326261,18.6,80.4,53761,235439,298177,289200,18.589557399723375,81.41044260027662,-32.5237315309895,323092,18.79743231030171,81.20256768969828,-33.47240261390476
5,AL-05,Dale Strong,(R),123032,216584,345255,35.6,62.7,91722,189922,297866,281644,32.5666444163554,67.43335558364461,-18.546644514357475,339616,36.22679732403656,63.77320267596344,-16.04303760016991
6,AL-06,Gary Palmer,(R),122189,228267,354698,34.4,64.4,91781,215098,321992,306879,29.90787900116984,70.09212099883015,-21.205409929543038,350456,34.86571780765631,65.13428219234369,-17.40411711655016
7,AL-07,Terri Sewell,(D),214068,109612,326206,65.6,33.6,204960,107062,319782,312022,65.68767586900923,34.31232413099076,14.57438693829635,323680,66.13568956994563,33.864310430054374,13.865854645739155
8,AR-01,Rick Crawford,(R),80516,197832,286792,28.1,69.0,82710,178526,274701,261236,31.66102681100614,68.33897318899386,-19.452262119706738,278348,28.926379927285268,71.07362007271473,-23.343454996921203
9,AR-02,French Hill,(R),140254,183964,333041,42.1,55.2,120843,166843,306119,287686,42.005172305916865,57.99482769408313,-9.108116624796011,324218,43.259165129634994,56.740834870365,-9.010669794571477
10,AR-03,Steve Womack,(R),110479,180794,300274,36.8,60.2,82476,156678,259373,239154,34.486565142126,65.513434857874,-16.62672378858688,291273,37.92970855520422,62.07029144479578,-14.340126369002249
11,AR-04,Bruce Westerman,(R),92683,198057,298962,31.0,66.2,94416,182697,290299,277113,34.07129943380498,65.92870056619502,-17.041989496907895,290740,31.878310517988577,68.12168948201142,-20.391524406217894
12,AZ-01,David Schweikert,(R),231887,225013,462784,50.1,48.6,165645,181468,371758,347113,47.72077104574014,52.27922895425985,-3.392517884972733,456900,50.75224337929525,49.24775662070475,-1.5175915449112196
13,AZ-02,Eli Crane,(R),183714,215659,405633,45.3,53.2,130295,162484,317058,292779,44.50285027273131,55.49714972726869,-6.610438657981568,399373,46.00060594982635,53.99939405017364,-6.26922897438012
14,AZ-03,Ruben Gallego,(D),170840,54754,229285,74.5,23.9,121424,36498,170143,157922,76.88859057002824,23.111409429971758,25.775301639315366,225594,75.72896442281267,24.271035577187337,23.459129498606195
15,AZ-04,Greg Stanton,(D),201238,162975,371497,54.2,43.9,136013,128842,292378,264855,51.35375960431179,48.6462403956882,0.24047067359891372,364213,55.252832820355124,44.747167179644876,2.982997896148653
16,AZ-05,Andy Biggs,(R),171278,239646,417419,41.0,57.4,103832,166365,293915,270197,38.428257900716886,61.571742099283114,-12.68503102999599,410924,41.68118678879793,58.31881321120207,-10.58864813540854
17,AZ-06,Juan Ciscomani,(R),214896,214580,436079,49.3,49.2,155070,173737,354405,328807,47.16140471461982,52.83859528538017,-3.951884216093056,429476,50.03678901731412,49.96321098268588,-2.2330459068923503
18,AZ-07,Raúl Grijalva,(D),194860,97580,296840,65.6,32.9,149723,70427,236125,220150,68.00953895071542,31.99046104928458,16.896250020002547,292440,66.6324716181097,33.3675283818903,14.362636693903234
19,AZ-08,Debbie Lesko,(R),171266,225761,402630,42.5,56.1,116708,176019,313776,292727,39.869229691828906,60.1307703081711,-11.24405923888397,397027,43.137116619272746,56.86288338072726,-9.132718304933725
20,AZ-09,Paul Gosar,(R),132165,225719,363126,36.4,62.2,82457,156561,255099,239018,34.4982386263796,65.5017613736204,-16.615050304333273,357884,36.929563769266025,63.07043623073398,-15.340271154940446
21,CA-01,Doug LaMalfa,(R),136550,203077,348189,39.2,58.3,106000,170897,297539,276897,38.28138260797336,61.718617392026644,-12.831906322739513,339627,40.20587291351983,59.79412708648017,-12.063962010686637
22,CA-02,Jared Huffman,(D),310592,101570,422441,73.5,24.0,251091,85392,364279,336483,74.62219488057346,25.37780511942654,23.508905949860583,412162,75.35677718955168,24.643222810448318,23.086942265345208
23,CA-03,Kevin Kiley,(R),211790,219762,442451,47.9,49.7,148225,175609,349009,323834,45.77190782931996,54.22809217068004,-5.341381101392919,431552,49.07635696277622,50.92364303722378,-3.193477961430254
24,CA-04,Mike Thompson,(D),250308,113844,373278,67.1,30.5,199588,91994,313567,291582,68.4500414977605,31.549958502239505,17.33675256704762,364152,68.73723060699928,31.262769393000724,16.467395682792805
25,CA-05,Tom McClintock,(R),171424,220770,401076,42.7,55.0,126636,175706,321883,302342,41.88501762904261,58.11498237095739,-9.228271301670269,392194,43.70898075952208,56.29101924047792,-8.560854164684393
26,CA-06,Ami Bera,(D),192873,131468,333336,57.9,39.4,139951,97012,255192,236963,59.060275232842265,40.93972476715774,7.946986302129389,324341,59.466117450461084,40.533882549538916,7.196282526254613
27,CA-07,Doris Matsui,(D),228897,102737,339420,67.4,30.3,173116,72303,261124,245419,70.538955826566,29.461044173434004,19.42566689585312,331634,69.0209688994494,30.979031100550607,16.75113397524293
28,CA-08,John Garamendi,(D),244070,70550,321343,76.0,22.0,192312,49541,255375,241853,79.51606967868912,20.48393032131088,28.402780747976244,314620,77.57612357764923,22.423876422350773,25.306288653442756
29,CA-09,Josh Harder,(D),157640,121642,285397,55.2,42.6,118734,89925,220655,208659,56.90336865411988,43.09663134588012,5.790079723407004,279282,56.44474044156086,43.55525955843914,4.174905517354389
30,CA-10,Mark DeSaulnier,(D),280973,119815,409383,68.6,29.3,211297,93720,324554,305017,69.27384375297115,30.72615624702885,18.16055482225827,400788,70.10514286854895,29.89485713145104,17.835307944342482
31,CA-11,Nancy Pelosi,(D),339795,46210,393814,86.3,11.7,312188,32219,363048,344407,90.64507980383674,9.35492019616326,39.53179087312386,386005,88.02865247859484,11.971347521405164,35.758817554388365
32,CA-12,Barbara Lee,(D),328830,31734,368206,89.3,8.6,285851,21158,326129,307009,93.10834535795367,6.8916546420463245,41.99505642724079,360564,91.19878856458216,8.801211435417846,38.92895364037569
33,CA-13,John Duarte,(R),125261,100222,230706,54.3,43.4,95740,73456,179395,169196,56.58526206293293,43.41473793706707,5.47197313222005,225483,55.55230327785243,44.44769672214757,3.2824683536459602
34,CA-14,Eric Swalwell,(D),239561,87626,334248,71.7,26.2,191587,63695,271329,255282,75.04916131963867,24.950838680361326,23.935872388925794,327187,73.21837359063778,26.78162640936223,20.94853866643131
35,CA-15,Kevin Mullin,(D),272883,71552,351079,77.7,20.4,222841,51514,288191,274355,81.22359716425798,18.77640283574201,30.110308233545105,344435,79.22626910737876,20.773730892621252,26.956434183172284
36,CA-16,Anna Eshoo,(D),288193,85593,382082,75.4,22.4,244067,64281,327900,308348,79.15309974444459,20.84690025555541,28.039810813731712,373786,77.10106852584099,22.89893147415901,24.831233601634516
37,CA-17,Ro Khanna,(D),219542,76381,301898,72.7,25.3,180644,49348,243900,229992,78.54360151657448,21.45639848342551,27.430312585861607,295923,74.18889373249122,25.811106267508777,21.919058808284753
38,CA-18,Zoe Lofgren,(D),190117,72029,267951,71.0,26.9,149674,47503,209358,197177,75.90844773984796,24.091552260152046,24.79515880913508,262146,72.52332669581072,27.47667330418927,20.253491771604253
39,CA-19,Jimmy Panetta,(D),283245,119900,412573,68.7,29.1,228207,92925,343781,321132,71.06330107245618,28.936698927543812,19.950012141743308,403145,70.25883987151025,29.741160128489753,17.989004947303776
40,CA-20,Kevin McCarthy,(R),127496,214492,349862,36.4,61.3,86186,169533,270759,255719,33.703400998752535,66.29659900124746,-17.40988793196034,341988,37.28084026340105,62.71915973659894,-14.988994660805417
41,CA-21,Jim Costa,(D),133827,87856,226362,59.1,38.8,100670,63046,172953,163716,61.49063011556598,38.50936988443402,10.377341184853101,221683,60.36863449159385,39.63136550840615,8.098799567387381
42,CA-22,David Valadao,(R),103963,79681,188155,55.3,42.3,80935,57626,146731,138561,58.411096917603075,41.588903082396925,7.297807986890199,183644,56.6111607240095,43.388839275990506,4.34132579980303
43,CA-23,Jay Obernolte,(R),130953,160218,298346,43.9,53.7,94354,129659,237660,224013,42.11987697142577,57.88012302857424,-8.993411959287108,291171,44.97460255313888,55.02539744686112,-7.295232371067591
44,CA-24,Salud Carbajal,(D),240344,130117,379418,63.3,34.3,192277,110464,325104,302741,63.51204494931311,36.48795505068689,12.398756018600231,370461,64.87700459697511,35.12299540302488,12.607169672768642
45,CA-25,Raul Ruiz,(D),150324,109749,265268,56.7,41.4,115402,79731,204939,195133,59.14017618752339,40.85982381247662,8.026887256810511,260073,57.80069442041273,42.19930557958727,5.530859496206261
46,CA-26,Julia Brownley,(D),222994,147422,378303,58.9,39.0,172791,119201,310253,291992,59.17662127729527,40.82337872270473,8.063332346582392,370416,60.200963241328665,39.79903675867133,7.9311283171221945
47,CA-27,Mike Garcia,(R),188108,145890,341467,55.1,42.7,137453,111663,264932,249116,55.17630340885371,44.823696591146295,4.063014478140836,333998,56.32009772513607,43.67990227486392,4.050262800929602
48,CA-28,Judy Chu,(D),242549,117111,366847,66.1,31.9,187981,87369,291791,275350,68.26983838750681,31.73016161249319,17.156549456793933,359660,67.43841405772119,32.56158594227882,15.168579133514719
49,CA-29,Tony Cárdenas,(D),204924,63885,274903,74.5,23.2,167514,35752,215103,203266,82.41122470063857,17.58877529936143,31.297935769925694,268809,76.23405466334833,23.765945336651676,23.96421973914186
50,CA-30,Adam Schiff,(D),273895,98576,379374,72.2,26.0,227402,64161,308087,291563,77.9941213391274,22.005878660872607,26.880832408414527,372471,73.53458390049158,26.465416099508417,21.264748976285112
51,CA-31,Grace Napolitano,(D),198028,102679,307073,64.5,33.4,156396,67936,238158,224332,69.71631332132732,30.283686678672684,18.603024390614443,300707,65.8541370836063,34.145862916393696,13.584302159399833
52,CA-32,Brad Sherman,(D),271209,112044,390332,69.5,28.7,222716,79312,318390,302028,73.740183029388,26.259816970612,22.62689409867513,383253,70.76500379644777,29.23499620355222,18.4951688722413
53,CA-33,Pete Aguilar,(D),168266,99017,273478,61.5,36.2,129374,67186,207883,196560,65.81908831908831,34.18091168091168,14.705799388375432,267283,62.95424699662904,37.045753003370955,10.684412072422568
54,CA-34,Jimmy Gomez,(D),205043,42309,253290,81.0,16.7,166571,20440,198317,187011,89.07016164824529,10.92983835175471,37.95687271753241,247352,82.89522623629483,17.104773763705165,30.62539131208836
55,CA-35,Norma Torres,(D),173588,97138,276741,62.7,35.1,129417,60059,200403,189476,68.30258185733285,31.697418142667143,17.189292926619977,270726,64.11944179724149,35.880558202758515,11.849606873035022
56,CA-36,Ted Lieu,(D),299046,113323,421108,71.0,26.9,248098,88950,358360,337048,73.60910018751038,26.390899812489614,22.495811256797502,412369,72.51903028598173,27.480969714018272,20.249195361775257
57,CA-37,Sydney Kamlager-Dove,(D),239814,34760,279846,85.7,12.4,204880,16919,231849,221799,92.37192232607,7.628077673929999,41.25863339535713,274574,87.34038911186055,12.659610888139444,35.070554187654075
58,CA-38,Linda Sánchez,(D),217122,114836,338870,64.1,33.9,172158,77300,264220,249458,69.01281979331189,30.987180206688098,17.899530862599015,331958,65.40646708318522,34.59353291681478,13.136632158978749
59,CA-39,Mark Takano,(D),165291,95616,266730,62.0,35.8,126358,67163,205670,193521,65.29420579678691,34.70579420321309,14.180916866074035,260907,63.35245892214467,36.64754107785533,11.0826239979382
60,CA-40,Young Kim,(R),212169,204203,424992,49.9,48.0,153235,167909,340682,321144,47.71535510549785,52.28464489450215,-3.397933825215027,416372,50.95659650504837,49.04340349495163,-1.313238419158104
61,CA-41,Ken Calvert,(R),178995,182973,368474,48.6,49.7,120855,137273,271090,258128,46.81979483047171,53.18020516952829,-4.293494100241169,361968,49.45050391194802,50.54949608805198,-2.819331012258452
62,CA-42,Robert Garcia,(D),207750,74998,289669,71.7,25.9,169862,50761,234937,220623,76.99197273176414,23.00802726823586,25.87868380105126,282748,73.4753207803415,26.52467921965849,21.205485856135034
63,CA-43,Maxine Waters,(D),218764,46043,270782,80.8,17.0,185173,25041,220096,210214,88.08785333041567,11.912146669584327,36.97456439970279,264807,82.61261975703059,17.387380242969407,30.342784832824115
64,CA-44,Nanette Barragán,(D),213507,72413,292791,72.9,24.7,177642,44780,235011,222422,79.86709947756967,20.132900522430337,28.75381054685679,285920,74.67368494683828,25.326315053161725,22.403850022631808
65,CA-45,Michelle Steel,(R),186196,164111,357137,52.1,46.0,147167,110889,273405,258056,57.02909446011718,42.970905539882814,5.915805529404302,350307,53.15223503955102,46.84776496044898,0.8824001153445522
66,CA-46,Lou Correa,(D),162579,85483,253538,64.1,33.7,129505,52908,193744,182413,70.99548826015689,29.004511739843103,19.882199329444013,248062,65.53966347122898,34.46033652877104,13.269828547022506
67,CA-47,Katie Porter,(D),212948,169641,390918,54.5,43.4,154198,131616,304040,285814,53.95047128552135,46.04952871447865,2.8371823548084762,382589,55.65972884740545,44.34027115259455,3.3898939231989758
68,CA-48,Darrell Issa,(R),167285,215540,391616,42.7,55.0,114587,175666,307909,290253,39.47831719224263,60.52168280775737,-11.634971738470249,382825,43.69751191797819,56.30248808202181,-8.572323006228281
69,CA-49,Mike Levin,(D),221230,174975,405298,54.6,43.2,160308,142290,322391,302598,52.97721729819761,47.02278270180239,1.863928367484732,396205,55.83725596597721,44.16274403402279,3.5674210417707357
