,district,incumbent,party,dem_24,rep_24,tot_24,dem_pct_24,rep_pct_24,dem_20,rep_20,tot_20,dem_pct_20,rep_pct_20,2p_tot_24,dem_2p_24,rep_2p_24,2p_tot_20,dem_2p_20,rep_2p_20,dem_16,rep_16,tot_16,2p_tot_16,dem_2p_16,rep_2p_16,lean_16,lean_20,lean_24
2,AK-AL,Nick Begich,(R),140026,184458,338177,41.41,54.54,153778,189951,357569,43.01,53.12,324484,43.153437457625024,56.84656254237497,343729,44.73815127615069,55.26184872384932,116454,163387,309407,279841,41.61434528893193,58.38565471106807,-9.498943641780947,-7.5316836480557825,-6.096508673942708
3,AL-01,Barry Moore,(R),73003,257060,332700,21.94,77.26,79112,243258,325715,24.29,74.68,330063,22.117898704186775,77.88210129581323,322370,24.540745106554578,75.45925489344542,64080,220085,293420,284165,22.550278887266202,77.4497211127338,-28.563010043446674,-27.729089817651893,-27.132047427380957
4,AL-02,Shomari Figures,(D),155603,131721,290033,53.65,45.42,174051,135333,312225,55.75,43.34,287324,54.155935459620494,45.844064540379506,309384,56.257272515708635,43.742727484291365,163388,131758,303364,295146,55.358365012570054,44.64163498742995,4.245076081857178,3.9874375915021645,4.905989328052762
5,AL-03,Mike Rogers,(R),82654,229676,314869,26.25,72.94,93357,225360,322031,28.99,69.98,312330,26.463676239874488,73.53632376012551,318717,29.291503120323043,70.70849687967696,79538,200498,289677,280036,28.402776785841823,71.59722321415818,-22.710512144871053,-22.978331803883428,-22.786269891693244
6,AL-04,Robert Aderholt,(R),53098,267953,323449,16.42,82.84,60121,262473,325713,18.46,80.58,321051,16.538805361142,83.461194638858,322594,18.636738439028626,81.36326156097138,51956,236405,297488,288361,18.017693099968444,81.98230690003156,-33.09559583074443,-33.633096485177845,-32.71114077042573
7,AL-05,Dale Strong,(R),122344,224704,351650,34.79,63.9,122867,216418,344866,35.63,62.75,347048,35.25276042507088,64.74723957492911,339285,36.21350781791119,63.78649218208881,92178,189897,298086,282075,32.67854294070726,67.32145705929274,-18.434745990005617,-16.056327106295278,-13.99718570649685
8,AL-06,Gary Palmer,(R),105388,239984,349125,30.19,68.74,107324,241583,353116,30.39,68.41,345372,30.514343953765792,69.4856560462342,348907,30.760059270808554,69.23994072919145,80052,225254,319686,305306,26.22025115785474,73.77974884214525,-24.893037772858136,-21.509775653397917,-18.73560217780194
9,AL-07,Terri Sewell,(D),180321,111517,294526,61.22,37.86,212792,116745,332305,64.04,35.13,291838,61.788046793083836,38.211953206916164,329537,64.5730221492579,35.426977850742105,198415,114732,322103,313147,63.36161611000585,36.63838388999416,12.248327179292971,12.303187225051424,12.538100661516104
10,AR-01,Rick Crawford,(R),72183,196035,273446,26.4,71.69,80516,197832,286792,28.07,68.98,268218,26.91206406728855,73.08793593271146,278348,28.926379927285268,71.07362007271473,82710,178526,274701,261236,31.66102681100614,68.33897318899386,-19.452262119706738,-23.343454996921203,-22.33788206427918
11,AR-02,French Hill,(R),131089,180710,319500,41.03,56.56,140254,183964,333041,42.11,55.24,311799,42.04279038739701,57.95720961260299,324218,43.259165129634994,56.740834870365,120843,166843,306119,287686,42.005172305916865,57.99482769408313,-9.108116624796011,-9.010669794571477,-7.20715574417072
