cycle,state,candidate_name,party,avg,std,lower_ci,upper_ci,effn
2024,Arizona,Ruben Gallego,DEM,49.457732121770206,1.768179911066979,45.99209949607893,52.923364747461484,30.60476915689675
2024,Arizona,Kari Lake,REP,45.18576531847148,2.7438117018726973,39.807894382800995,50.56363625414197,30.60476915689675
2024,Michigan,Elissa Slotkin,DEM,48.70384899223626,1.5950561358527844,45.577538965964806,51.830159018507715,41.00902858026861
2024,Michigan,Mike Rogers,REP,45.11179444384251,2.5975682059085603,40.02056076026174,50.20302812742329,41.00902858026861
2024,Nevada,Jacky S. Rosen,DEM,49.43955903333258,1.8098699546773989,45.89221392216488,52.98690414450028,21.117201676619338
2024,Nevada,Sam Brown,REP,43.87418709520947,2.192639483871114,39.57661370682209,48.171760483596856,21.117201676619338
2024,Pennsylvania,Robert P. Casey Jr.,DEM,48.56636924237587,1.5133822225879754,45.60014008610344,51.532598398648304,37.08958927985289
2024,Pennsylvania,Dave McCormick,REP,45.75134861969671,1.8079558662799746,42.207755121787955,49.29494211760546,37.08958927985289
2024,Wisconsin,Tammy Baldwin,DEM,49.15025528101052,1.3410983561823915,46.521702502893035,51.77880805912801,32.70030935913267
2024,Wisconsin,Eric D. Hovde,REP,46.95824824650633,1.4094544974599519,44.19571743148482,49.720779061527836,32.70030935913267
2024,Minnesota,Amy Klobuchar,DEM,52.59419991502792,2.196947543692841,48.28818272938995,56.90021710066589,5.3921756896413955
2024,Minnesota,Royce White,REP,39.274688381297516,2.3831261763003693,34.60376107574879,43.94561568684624,5.3921756896413955
2024,Montana,Jon Tester,DEM,42.66418874019725,3.882557676143438,35.05437569495611,50.27400178543839,4.219730688011905
2024,Montana,Tim Sheehy,REP,49.66745346533398,2.111832605541305,45.52826155847302,53.806645372194936,4.219730688011905
2024,Ohio,Sherrod Brown,DEM,46.72920619257225,1.1221915721676226,44.52971071112371,48.928701674020786,9.100617534262128
2024,Ohio,Bernie Moreno,REP,48.87968129570522,2.3653375340433604,44.243619728980235,53.5157428624302,9.100617534262128
2024,Texas,Colin Allred,DEM,45.30359066533532,0.805736438111623,43.72434724663654,46.8828340840341,11.90708074690449
2024,Texas,Ted Cruz,REP,49.535597304046306,2.266999323355501,45.092278630269526,53.978915977823085,11.90708074690449
2024,Virginia,Timothy Michael Kaine,DEM,51.794532540977606,2.118542159794878,47.642189907779645,55.94687517417557,7.083978153058655
2024,Virginia,Hung Cao,REP,42.276618207209125,2.0049328954180408,38.34694973218976,46.20628668222849,7.083978153058655
2024,California,Adam B. Schiff,DEM,57.80244213134141,2.9486544011390063,52.02307950510895,63.58180475757386,5.839412471413521
2024,California,Steve Garvey,REP,34.79319895095883,1.054608872350818,32.72616556115123,36.86023234076644,5.839412471413521
2024,Florida,Debbie Mucarsel-Powell,DEM,44.87874747854771,1.6284887818868048,41.68690946604957,48.07058549104585,14.339770593248977
2024,Florida,Rick Scott,REP,49.507597154683815,2.0201706047239294,45.54806276942492,53.46713153994271,14.339770593248977
2024,Missouri,Lucas Kunce,DEM,42.80942252011092,1.993637463790793,38.901893091080964,46.71695194914088,3.418204780622349
